track_name,artist,cluster,popularity
Comedy,Gen Hoshino,3,73
Ghost - Acoustic,Ben Woodward,1,55
To Begin Again,Ingrid Michaelson;ZAYN,1,57
Can't Help Falling In Love,Kina Grannis,1,71
Hold On,Chord Overstreet,1,82
Days I Will Remember,Tyrone Wells,3,58
Say Something,A Great Big World;Christina Aguilera,1,74
I'm Yours,Jason Mraz,3,80
Lucky,Jason Mraz;Colbie Caillat,3,74
Hunger,Ross Copperman,2,56
Give Me Your Forever,Zack Tabudlo,3,74
I Won't Give Up,Jason Mraz,1,69
Solo,Dan Berk,1,52
Bad Liar,Anna Hamilton,1,62
Hold On - Remix,Chord Overstreet;Deepend,3,56
Falling in Love at a Coffee Shop,Landon Pigg,2,58
ily (i love you baby),Andrew Foy;Renee Foy,1,56
At My Worst,Andrew Foy;Renee Foy,1,54
Lucky,Jason Mraz;Colbie Caillat,3,68
Photograph,Boyce Avenue;Bea Miller,1,67
I'm Yours,Jason Mraz,3,75
Demons,Boyce Avenue;Jennel Garcia,3,63
Say Something,A Great Big World;Christina Aguilera,1,70
Bella Luna,Jason Mraz,3,1
Trampoline - Acoustic,Highland Peak,1,46
透明だった世界,Motohiro Hata,0,61
Pieces,Andrew Belle,2,60
A Drop in the Ocean,Ron Pope,1,68
So Far Away - Acoustic,Adam Christopher,1,52
The Enemy,Andrew Belle,2,62
Build It Better,Aron Wright,1,51
Gravity,Sara Bareilles,1,67
What's Left of You,Chord Overstreet,3,57
Pano,Zack Tabudlo,1,75
Sky's Still Blue,Andrew Belle,2,62
And I Love Her,Kurt Cobain,1,66
We Can't Stop,Boyce Avenue;Bea Miller,1,64
Always Be My Baby,Tim Halperin,1,62
Alone with You,Canyon City,1,58
Making All Things New,Aaron Espe,1,65
She Used To Be Mine,Sara Bareilles,1,67
In My Veins - Feat. Erin Mccarley,Andrew Belle,2,65
I Don't Wanna Live Forever (Fifty Shades Darker),Tyler Ward,1,44
A Drop In the Ocean,Ron Pope,2,55
Superman (It's Not Easy),Five For Fighting,2,70
When the End Comes,Andrew Belle,1,57
You're Still The One,Bailey Jehl,0,56
Light Me Up,Ingrid Michaelson,2,56
93 Million Miles,Jason Mraz,3,67
Kaleidoscope,A Great Big World,3,62
The Long Road,Eddie Vedder;Nusrat Fateh Ali Khan,1,45
What Would I Do Without You,Drew Holcomb & The Neighbors,1,64
Have It All,Jason Mraz,3,65
Society,Eddie Vedder,1,68
Guaranteed,Eddie Vedder,1,61
Brave,Sara Bareilles,2,70
Heaven Knows,Five For Fighting,2,62
Rain,Motohiro Hata,3,58
Somebody Else - Acoustic,Callum J Wright,3,50
Pieces (Hushed),Andrew Belle,1,59
Mirrors,Boyce Avenue;Fifth Harmony,3,57
Stand by Me,Boyce Avenue,1,60
Losing Me,Gabrielle Aplin;JP Cooper,3,61
なんでもないや - movie ver.,Mone Kamishiraishi,1,49
You’re Beautiful - Acoustic,John Adams,1,55
Hikare Inochi,Kitri,3,51
How To Lose a Girl,Tyler Ward,3,46
Can’t Help Falling in Love,Boyce Avenue,1,57
Dive Deep (Hushed),Andrew Belle,1,58
When the Party's over (Acoustic Piano),Ben Woodward,1,51
Boston,Augustana,2,63
Living in the Shadows,Matthew Perryman Jones,2,53
In Case You Didn’t Know,Boyce Avenue,1,60
death bed (coffee for your head),Andrew Foy;Renee Foy,1,47
You Are My Sunshine,Kina Grannis,1,60
I Won't Give Up,Jason Mraz,1,66
I Was Born To Love You,Ray LaMontagne;Sierra Ferrell,1,67
Only Love Can Hurt Like This,Meg Birch,1,43
Mr Blue,Catherine Feeny,1,54
Do Not Let Me Go,Joshua Hyslop,1,60
Holding On And Letting Go,Ross Copperman,1,49
You Already Know,JJ Heller,1,57
Believer (Remix),Ben Woodward,2,42
Collide - Acoustic Version,Howie Day,1,67
Love Like This,Ben Rector,1,61
Come On Get Higher,Matt Nathanson,3,71
"""Something In the Rain"" (Something In the Rain, Pt. 1) [Music from the Original TV Series]",Rachael Yamagata,1,49
Kiss Me Slowly,Parachute,2,61
Without You,Parachute,3,61
Absolutely Zero,Jason Mraz,2,20
Sleep All Day,Jason Mraz,3,22
You and I Both,Jason Mraz,3,35
Long Nights,Eddie Vedder,1,60
Please Don't Say You Love Me,Gabrielle Aplin,1,59
Suddenly I See,KT Tunstall,3,73
Who Needs Shelter,Jason Mraz,2,22
No Stopping Us,Jason Mraz,3,19
I'll Do Anything,Jason Mraz,2,24
Make You Feel My Love,JJ Heller,1,57
The Remedy (I Won't Worry),Jason Mraz,3,35
Too Much Food,Jason Mraz,3,20
The Boy's Gone,Jason Mraz,3,18
"On Love, in Sadness",Jason Mraz,3,19
Curbside Prophet,Jason Mraz,3,23
"Tonight, Not Again - Live",Jason Mraz,1,19
"Tonight, Not Again",Jason Mraz,2,18
Hard Sun,Eddie Vedder,2,65
Here with Me,Susie Suh;Robot Koch,1,55
The Scientist,Tyler Ward;Lindsey Stirling;Kina Grannis,1,47
Collide,Howie Day,3,56
get better,Eden Elf;Ren Avel,1,53
Sympathy,Kitri,3,49
Let It Go,Boyce Avenue;Rachel Grae,1,51
What You Need,Chord Overstreet,1,53
100 Years,Five For Fighting,3,66
You're the Sea,Andrew Belle,3,56
No Direction,Rachael Yamagata,3,47
Belong,Cary Brothers,1,51
As It Was,The Mayries,1,55
I'm Yours,Jason Mraz,3,60
Chi Mai,Joseph Sullinger,1,40
Say Something,A Great Big World;Christina Aguilera,1,58
Had It All,Parachute,3,55
Take Me Back ft. Yonnyboii,Zack Tabudlo;Yonnyboii,3,50
Whole Again - Acoustic Version,Tobey Rosen,1,52
Overpass Graffiti,The Mayries,1,54
Love Song,Sara Bareilles,3,73
Let Her Go,Andrew Foy;Renee Foy,1,38
Brighter Than Sunshine,Aqualung,3,53
Love Story,Tyler Ward;Karis;Ray Lorraine,1,55
Mujer con Abanico,Agustín Amigó;Nylonwings,1,41
In the Shadows,Amy Stroup,2,46
Can You Feel the Love Tonight,Boyce Avenue;Connie Talbot,1,63
The Story,Brandi Carlile,2,66
Better,JJ Heller,1,54
Iris,Kina Grannis,1,62
Rockabye - Acoustic Version,The Mayries,1,57
I Need You More Today,Caleb Santos;Viva Music Publishing Inc.,2,68
Beautiful Soul,Boyce Avenue,3,62
Let's See What The Night Can Do,Jason Mraz,2,53
"La La La (Something In the Rain, Pt. 2) [Music from the Original TV Series]",Rachael Yamagata,1,44
Forever And Always,Parachute,3,57
Fine On The Outside,Priscilla Ahn,1,52
Tortured Soul,Chord Overstreet,1,53
I Believe in You,JJ Heller,1,53
At Home,Jon Bryant,1,55
"Portland, Maine",Donovan Woods,1,66
Holding On and Letting Go,Ross Copperman,1,49
The Flood,Joshua Hyslop,1,60
Hanggang Kailan (Umuwi Ka Na Baby),Angelina Cruz,1,38
Out of My League,Stephen Speaks,1,67
Say Something,A Great Big World,1,57
Rise,Eddie Vedder,1,60
World Spins Madly On,The Weepies;Deb Talan;Steve Tannen,1,64
ひまわりの約束,Motohiro Hata,3,61
Since U Been Gone - Acoustic Version,Thomas Daniel,1,50
"One more time,One more chance",Masayoshi Yamazaki,1,47
Creep,Kina Grannis,1,58
Higher Love,Todd Carey;Ariza;Chuck Leavell,3,30
